village,num_hh,totalpop,male_pop,female_pop,hh_size
    DEP: ALIBORI ,108 351 ,867 463 ,431 357 ,436 106 ,8
        COM: BANIKOARA ,26 895 ,246 575 ,122 445 ,124 130 ,9.2
            ARROND: FOUNOUGO ,4 414 ,47 026 ,23 138 ,23 888 ,10.7
                BOFOUNOU-PEULH ,128,1 381 ,695,686,10.8
                FOUNOUGO A ,913,9 899 ,4 923 ,4 976 ,10.8
                FOUNOUGO B ,731,6 838 ,3 363 ,3 475 ,9.4
                FOUNOUGO PEULH ,122,1 985 ,942,1 043 ,16.3
                GNINGNIMPOGOU ,289,3 397 ,1 675 ,1 722 ,11.8
                GOUGNIROU-BARIBA ,163,1 824 ,881,943,11.2
                GOUGNIROU PEULH ,125,1 163 ,583,580,9.3
                IGRIGGOU ,679,7 096 ,3 452 ,3 644 ,10.5
                KANDEROU ,467,5 912 ,2 946 ,2 966 ,12.7
                KPAKO GBARI ,380,3 806 ,1 850 ,1 956 ,10
                SAMPETO ,417,3 725 ,1 828 ,1 897 ,8.9
            ARROND: GOMPAROU ,2 204 ,22 803 ,11 418 ,11 385 ,10.3
                BOUHANROU ,274,2 891 ,1 428 ,1 463 ,10.6
                GOMPAROU A ,403,3 969 ,1 956 ,2 013 ,9.8
                GOMPAROU B ,261,2 521 ,1 247 ,1 274 ,9.7
                GOMPAROU PEULH ,83,899,442,457,10.8
                KPESSANROU ,167,1 908 ,965,943,11.4
                NIEKOUBANTA ,77,828,415,413,10.8
                PAMPIME ,426,4 778 ,2 394 ,2 384 ,11.2
                TIGASSOUNON ,445,4 137 ,2 137 ,2 000 ,9.3
                GOUROUEDE ,68,872,434,438,12.8
            ARROND: GOUMORI ,3 769 ,33 241 ,16 484 ,16 757 ,8.8
                DOMBOURE BARIBA ,340,3 105 ,1 522 ,1 583 ,9.1
                DOMBOURE PEULH ,316,2 486 ,1 274 ,1 212 ,7.9
                GBANGBANGA ,501,4 586 ,2 341 ,2 245 ,9.2
                GBASSA ,865,7 893 ,3 959 ,3 934 ,9.1
                GOUMORI A ,690,5 722 ,2 764 ,2 958 ,8.3
                GOUMORI B ,539,4 627 ,2 248 ,2 379 ,8.6
                GOUMORI PEULH ,110,1 407 ,697,710,12.8
                MONDOUKOKA ,408,3 415 ,1 679 ,1 736 ,8.4
            ARROND: KOKEY ,2 018 ,18 596 ,9 257 ,9 339 ,9.2
                KOKEY A ,946,7 862 ,3 915 ,3 947 ,8.3
                KOKEY B ,494,4 713 ,2 281 ,2 432 ,9.5
                NIMBERE PEULH ,408,4 393 ,2 213 ,2 180 ,10.8
                PIGUIRE PEULH ,170,1 628 ,848,780,9.6
            ARROND: KOKIBOROU ,1 036 ,10 531 ,5 212 ,5 319 ,10.2
                KOKIBOROU A ,220,2 583 ,1 340 ,1 243 ,11.7
                KOKIBOROU B ,222,1 817 ,870,947,8.2
                KOKIBOROU PEULH ,385,4 040 ,2 037 ,2 003 ,10.5
                SIRIKOU ,209,2 091 ,965,1 126 ,10
            ARROND: OUNET ,2 182 ,20 920 ,10 323 ,10 597 ,9.6
                OUNET A ,677,5 834 ,2 914 ,2 920 ,8.6
                OUNET B ,568,4 934 ,2 374 ,2 560 ,8.7
                OUNET PEULH ,197,1 953 ,989,964,9.9
                SONNOU BARIBA ,278,2 644 ,1 287 ,1 357 ,9.5
                SONNOU PEULH ,462,5 555 ,2 759 ,2 796 ,12
            ARROND: SOMPEREKOU ,2 938 ,25 402 ,12 787 ,12 615 ,8.6
                POTO ,1 022 ,9 794 ,4 945 ,4 849 ,9.6
                SIMPEROU ,399,3 363 ,1 671 ,1 692 ,8.4
                SIMPEROU-PEULH ,335,2 585 ,1 257 ,1 328 ,7.7
                SOMPEREKOU-A ,617,5 202 ,2 650 ,2 552 ,8.4
                SOMPEREKOU-B ,227,1 752 ,930,822,7.7
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                SOMPEREKOU-PEULH ,291,2 312 ,1 132 ,1 180 ,7.9
                KEGAMONROU ,47,394,202,192,8.4
            ARROND: SOROKO ,1 129 ,9 074 ,4 592 ,4 482 ,8
                GBENIKI ,465,3 344 ,1 755 ,1 589 ,7.2
                SOROKO A ,261,2 196 ,1 069 ,1 127 ,8.4
                SOROKO B ,284,2 619 ,1 318 ,1 301 ,9.2
                SOROKO PEULH ,119,915,450,465,7.7
            ARROND: TOURA ,2 291 ,21 411 ,10 530 ,10 881 ,9.3
                ATABENOU ,541,5 625 ,2 716 ,2 909 ,10.4
                TINTINMOU-BARIBA ,662,6 473 ,3 218 ,3 255 ,9.8
                TINTINMOU-PEULH ,301,2 402 ,1 218 ,1 184 ,8
                TOURA-A ,449,3 822 ,1 884 ,1 938 ,8.5
                TOURA-B ,300,2 713 ,1 298 ,1 415 ,9
                TOURA-PEULH ,38,376,196,180,9.9
            ARROND: BANIKOARA ,4 914 ,37 571 ,18 704 ,18 867 ,7.6
                ARBONGA ,353,3 091 ,1 504 ,1 587 ,8.8
                OKIRE ,380,2 859 ,1 453 ,1 406 ,7.5
                YADIKPAROU ,1 040 ,7 232 ,3 616 ,3 616 ,7
                WETEROU ,401,2 848 ,1 412 ,1 436 ,7.1
                DEMANOU ,344,2 620 ,1 286 ,1 334 ,7.6
                OROU GNONROU ,1 018 ,6 411 ,3 165 ,3 246 ,6.3
                DEROU GAROU ,264,2 307 ,1 150 ,1 157 ,8.7
                KOMMON ,264,1 920 ,923,997,7.3
                KORI GINGUIRI ,338,3 586 ,1 836 ,1 750 ,10.6
                WAGOU ,158,1 298 ,635,663,8.2
                TOKEY BANTA ,354,3 399 ,1 724 ,1 675 ,9.6
        COM: GOGOUNOU ,15 250 ,117 523 ,58 018 ,59 505 ,7.7
            ARROND: BAGOU ,4 027 ,29 958 ,14 796 ,15 162 ,7.4
                BADOU ,547,4 031 ,1 995 ,2 036 ,7.4
                BANIGOURE ,513,3 890 ,1 911 ,1 979 ,7.6
                BAGOU I ,535,3 739 ,1 811 ,1 928 ,7
